種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,4381,ビープラッツ,東Ｇ,363,S,+80,+28.27%,26.0,－,－,2026-08-03 15:34
本日のストップ高銘柄,2,NEW,,6810,マクセル,東Ｐ,"2,570",S,+500,+24.15%,14.1,1.05,2.18,2026-08-03 15:34
本日のストップ高銘柄,3,↓1,2,2737,トーメンデバ,東Ｐ,"26,150",S,"+5,000",+23.64%,5.9,2.52,6.27,2026-08-03 15:34
本日のストップ高銘柄,4,↓3,1,4052,フィーチャ,東Ｇ,422,S,+80,+23.39%,176,3.57,－,2026-08-03 15:34
本日のストップ高銘柄,5,NEW,,6952,カシオ,東Ｐ,"2,164.5",S,+400.0,+22.67%,20.2,2.01,－,2026-08-03 15:34
本日のストップ高銘柄,6,NEW,,9110,ユナイテド海,東Ｐ,"9,540",S,"+1,500",+18.66%,9.0,1.19,－,2026-08-03 15:34
本日のストップ高銘柄,7,NEW,,4073,ジィ・シィ,東Ｇ,529,S,+80,+17.82%,24.9,7.26,－,2026-08-03 15:34
本日のストップ高銘柄,8,NEW,,2121,ＭＩＸＩ,東Ｐ,"3,400",S,+504,+17.40%,8.9,1.18,4.56,2026-08-03 15:34
本日のストップ高銘柄,9,↑21,30,8995,誠建設,東Ｓ,"1,140",S,+150,+15.15%,32.8,0.56,2.19,2026-08-03 15:34
本日のストップ安銘柄,1,NEW,,3856,Ａバランス,東Ｓ,410,S,-100,-19.61%,－,0.21,0.73,2026-08-03 15:34
本日のストップ安銘柄,2,NEW,,5214,日電硝,東Ｐ,"4,394",,-929,-17.45%,21.6,0.65,3.64,2026-08-03 15:34
本日のストップ安銘柄,3,NEW,,6157,日進工具,東Ｓ,813,,-149,-15.49%,24.5,1.07,3.69,2026-08-03 15:34
