種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,6998,タングス,東Ｓ,"2,618",S,+500,+23.61%,17.7,0.92,3.44,2026-08-06 15:34
本日のストップ高銘柄,2,NEW,,4052,フィーチャ,東Ｇ,460,S,+80,+21.05%,64.1,3.89,－,2026-08-06 15:34
本日のストップ高銘柄,3,NEW,,4234,サンエー化研,東Ｓ,792,S,+100,+14.45%,4.8,0.34,2.27,2026-08-06 15:34
本日のストップ高銘柄,4,NEW,,5480,冶金工,東Ｐ,"5,690",S,+705,+14.14%,8.8,0.77,3.87,2026-08-06 15:34
本日のストップ安銘柄,1,NEW,,4073,ジィ・シィ,東Ｇ,579,S,-150,-20.58%,27.2,7.94,－,2026-08-06 15:34
本日のストップ安銘柄,2,NEW,,7760,ＩＭＶ,東Ｓ,"2,201",S,-500,-18.51%,19.0,2.67,1.36,2026-08-06 15:34
本日のストップ安銘柄,3,NEW,,6266,タツモ,東Ｐ,"3,885",S,-700,-15.27%,22.5,2.14,0.88,2026-08-06 15:34
本日のストップ安銘柄,4,NEW,,3628,データＨＲ,東Ｇ,573,S,-100,-14.86%,28.0,49.83,－,2026-08-06 15:34
本日のストップ安銘柄,5,NEW,,8056,ビプロジー,東Ｐ,"4,168",,-568,-11.99%,12.5,2.28,3.36,2026-08-06 15:34
