種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,3054,ハイパー,東Ｓ,321,S,+80,+33.20%,12.9,0.97,2.18,2026-08-18 15:34
本日のストップ高銘柄,2,NEW,,2962,テクニスコ,東Ｓ,"1,659",S,+300,+22.08%,76.3,8.65,－,2026-08-18 15:34
本日のストップ高銘柄,3,↓1,2,8995,誠建設,東Ｓ,"2,380",S,+400,+20.20%,68.4,1.15,1.05,2026-08-18 15:34
本日のストップ高銘柄,4,NEW,,150A,ＪＳＨ,東Ｇ,764,S,+100,+15.06%,22.5,2.16,0.39,2026-08-18 15:34
本日のストップ高銘柄,5,NEW,,4424,Ａｍａｚｉａ,東Ｇ,369,,+48,+14.95%,－,3.12,－,2026-08-18 15:34
本日のストップ高銘柄,6,NEW,,7035,アンファク,東Ｓ,292,,+33,+12.74%,－,3.88,－,2026-08-18 15:34
本日のストップ高銘柄,7,NEW,,4416,トゥルーＤ,東Ｇ,434,,+48,+12.44%,33.4,1.80,－,2026-08-18 15:34
本日のストップ高銘柄,8,NEW,,6635,大日光,東Ｓ,641,,-27,-4.04%,6.0,0.56,2.50,2026-08-18 15:34
