種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,194A,ウルフハンド,東Ｇ,"1,900",S,+400,+26.67%,14.3,3.88,1.37,2026-08-13 15:34
本日のストップ高銘柄,2,NEW,,7363,ベビカレ,東Ｇ,"1,570",S,+300,+23.62%,20.0,1.81,－,2026-08-13 15:34
本日のストップ高銘柄,3,NEW,,146A,コロンビア,東Ｓ,"4,005",S,+700,+21.18%,7.3,1.64,2.35,2026-08-13 15:34
本日のストップ高銘柄,4,NEW,,3895,ハビックス,東Ｓ,489,S,+80,+19.56%,11.0,0.50,3.27,2026-08-13 15:34
本日のストップ高銘柄,5,NEW,,6027,弁護士ＣＯＭ,東Ｐ,"3,150",S,+500,+18.87%,35.9,9.80,－,2026-08-13 15:34
本日のストップ高銘柄,6,NEW,,4255,ＴＨＥＣＯＯ,東Ｇ,"3,200",S,+501,+18.56%,11.1,8.10,－,2026-08-13 15:34
本日のストップ高銘柄,7,NEW,,7694,いつも,東Ｇ,528,S,+80,+17.86%,16.7,1.24,－,2026-08-13 15:34
本日のストップ高銘柄,8,NEW,,4588,オンコリス,東Ｇ,"3,370",S,+500,+17.42%,－,30.38,－,2026-08-13 15:34
本日のストップ高銘柄,9,↓4,5,6862,ミナトＨＤ,東Ｓ,"3,450",S,+502,+17.03%,4.2,2.18,1.22,2026-08-13 15:34
本日のストップ高銘柄,10,NEW,,6340,渋谷工,東Ｐ,"5,110",S,+700,+15.87%,12.9,1.19,2.35,2026-08-13 15:34
本日のストップ高銘柄,11,NEW,,4222,児玉化,東Ｓ,692,,+71,+11.43%,7.7,0.37,1.45,2026-08-13 15:34
本日のストップ高銘柄,12,NEW,,7911,ＴＯＰＰＡＮ,東Ｐ,"5,448",,+530,+10.78%,27.7,1.10,1.06,2026-08-13 15:34
本日のストップ安銘柄,1,NEW,,4052,フィーチャ,東Ｇ,583,S,-150,-20.46%,81.2,4.93,－,2026-08-13 15:34
本日のストップ安銘柄,2,NEW,,4259,エクサＷｉｚ,東Ｇ,692,S,-150,-17.81%,－,6.56,0.72,2026-08-13 15:34
本日のストップ安銘柄,3,NEW,,6335,東京機,東Ｓ,596,S,-100,-14.37%,8.4,0.52,－,2026-08-13 15:34
