種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,4381,ビープラッツ,東Ｇ,232,S,+50,+27.47%,16.1,－,－,2026-07-09 16:00
本日のストップ高銘柄,2,NEW,,7314,小田原機器,東Ｓ,"1,500",S,+300,+25.00%,56.9,1.19,2.67,2026-07-09 16:00
本日のストップ高銘柄,3,NEW,,584A,ＬｉＮＫＸ,東Ｇ,"4,090",S,+700,+20.65%,121,18.22,－,2026-07-09 16:00
本日のストップ高銘柄,4,NEW,,9348,アイスペース,東Ｇ,508,S,+80,+18.69%,－,4.93,－,2026-07-09 16:00
本日のストップ高銘柄,5,NEW,,2997,ストレジ王,東Ｇ,"1,099",S,+150,+15.81%,15.2,1.77,－,2026-07-09 16:00
本日のストップ安銘柄,1,NEW,,6522,アスタリスク,東Ｇ,"1,900",S,-500,-20.83%,235,8.95,－,2026-07-09 16:00
