種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,6513,オリジン,東Ｓ,"1,376",S,+300,+27.88%,70.6,0.30,2.91,2026-08-14 15:34
本日のストップ高銘柄,2,NEW,,7815,東京ボード,東Ｓ,387,S,+80,+26.06%,0.3,1.65,－,2026-08-14 15:34
本日のストップ高銘柄,3,NEW,,8995,誠建設,東Ｓ,"1,580",S,+300,+23.44%,45.4,0.77,1.58,2026-08-14 15:34
本日のストップ高銘柄,4,NEW,,4480,メドレー,東Ｐ,"2,677",S,+500,+22.97%,44.9,5.41,0.67,2026-08-14 15:34
本日のストップ高銘柄,5,NEW,,3633,ＧＭＯペパボ,東Ｓ,"2,200",S,+400,+22.22%,8.6,3.44,7.59,2026-08-14 15:34
本日のストップ高銘柄,6,NEW,,479A,ＰＲＯＮＩ,東Ｇ,"1,734",,+297,+20.67%,8.5,3.77,－,2026-08-14 15:34
本日のストップ高銘柄,7,NEW,,2585,Ｌドリンク,東Ｐ,"1,787",S,+300,+20.17%,22.1,5.49,0.84,2026-08-14 15:34
本日のストップ高銘柄,8,NEW,,3659,ネクソン,東Ｐ,"3,022.0",S,+500.5,+19.85%,－,2.19,15.72,2026-08-14 15:34
本日のストップ高銘柄,9,NEW,,150A,ＪＳＨ,東Ｇ,619,S,+100,+19.27%,18.3,1.75,0.48,2026-08-14 15:34
本日のストップ高銘柄,10,NEW,,3660,アイスタイル,東Ｐ,517,S,+80,+18.31%,36.9,2.28,0.39,2026-08-14 15:34
本日のストップ高銘柄,11,NEW,,4478,フリー,東Ｇ,"3,345",S,+501,+17.62%,－,9.42,－,2026-08-14 15:34
本日のストップ高銘柄,12,NEW,,6904,原田工業,東Ｓ,540,S,+80,+17.39%,19.0,0.75,1.85,2026-08-14 15:34
本日のストップ高銘柄,13,NEW,,4392,ＦＩＧ,東Ｐ,"1,050",S,+150,+16.67%,54.3,3.27,0.95,2026-08-14 15:34
本日のストップ高銘柄,14,↓10,4,3895,ハビックス,東Ｓ,569,S,+80,+16.36%,12.8,0.58,2.81,2026-08-14 15:34
本日のストップ高銘柄,15,NEW,,4180,Ａｐｐｉｅｒ,東Ｐ,"1,132",S,+150,+15.27%,28.1,2.89,0.20,2026-08-14 15:34
本日のストップ高銘柄,16,NEW,,6522,アスタリスク,東Ｇ,"2,165",,+264,+13.89%,267,9.18,－,2026-08-14 15:34
本日のストップ高銘柄,17,NEW,,7256,河西工,東Ｓ,451,,+20,+4.64%,19.9,1.69,－,2026-08-14 15:34
本日のストップ高銘柄,18,↓16,2,7363,ベビカレ,東Ｇ,"1,367",,-203,-12.93%,17.4,1.58,－,2026-08-14 15:34
本日のストップ安銘柄,1,NEW,,5074,テスＨＤ,東Ｐ,649,S,-150,-18.77%,25.5,0.88,1.48,2026-08-14 15:34
本日のストップ安銘柄,2,NEW,,4704,トレンド,東Ｐ,"5,851",S,"-1,000",-14.60%,24.7,6.57,－,2026-08-14 15:34
本日のストップ安銘柄,3,NEW,,7069,サイバーバズ,東Ｇ,582,,-99,-14.54%,12.9,5.02,－,2026-08-14 15:34
