種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,1407,ウエストＨＤ,東Ｓ,"2,802",S,+500,+21.72%,16.8,3.17,2.50,2026-07-15 15:36
本日のストップ高銘柄,2,NEW,,581A,ＧＯ,東Ｇ,"2,950",S,+500,+20.41%,20.5,9.19,－,2026-07-15 15:36
本日のストップ高銘柄,3,NEW,,5575,グロービー,東Ｇ,889,S,+150,+20.30%,10.4,4.01,－,2026-07-15 15:36
本日のストップ高銘柄,4,NEW,,7888,三光合成,東Ｐ,924,S,+150,+19.38%,6.3,0.81,3.46,2026-07-15 15:36
本日のストップ高銘柄,5,NEW,,9326,関通ＨＤ,東Ｇ,511,S,+80,+18.56%,19.4,2.44,1.96,2026-07-15 15:36
本日のストップ高銘柄,6,NEW,,4439,東名,東Ｓ,898,,+135,+17.69%,10.4,2.42,1.45,2026-07-15 15:36
本日のストップ高銘柄,7,NEW,,5817,ＪＭＡＣＳ,東Ｓ,"1,005",S,+150,+17.54%,22.8,0.99,1.49,2026-07-15 15:36
本日のストップ高銘柄,8,NEW,,7031,インバウＴ,東Ｇ,753,S,+100,+15.31%,－,1.52,－,2026-07-15 15:36
本日のストップ高銘柄,9,NEW,,5246,エレメンツ,東Ｇ,720,,+58,+8.76%,78.4,5.57,－,2026-07-15 15:36
本日のストップ安銘柄,1,NEW,,4381,ビープラッツ,東Ｇ,574,,-77,-11.83%,39.8,－,－,2026-07-15 15:36
