種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,8746,ｕｎｂａｎｋ,東Ｓ,127,S,+30,+30.93%,－,0.55,－,2026-09-02 16:00
本日のストップ高銘柄,2,NEW,,336A,ダイナマップ,東Ｇ,"1,479",S,+300,+25.45%,－,5.53,－,2026-09-02 16:00
本日のストップ高銘柄,3,NEW,,520A,Ｊファーマ,東Ｇ,391,,+76,+24.13%,－,2.01,－,2026-09-02 16:00
本日のストップ高銘柄,4,NEW,,2612,かどや製油,東Ｓ,"2,193",S,+400,+22.31%,29.5,1.64,2.14,2026-09-02 16:00
本日のストップ高銘柄,5,NEW,,593A,ティアフォー,東Ｇ,"3,040",S,+501,+19.73%,－,19.72,－,2026-09-02 16:00
本日のストップ高銘柄,6,NEW,,4667,アイサンテク,東Ｓ,"3,145",S,+502,+18.99%,30.4,2.65,1.43,2026-09-02 16:00
本日のストップ高銘柄,7,NEW,,3653,モルフォ,東Ｇ,"1,015",S,+150,+17.34%,－,1.78,－,2026-09-02 16:00
本日のストップ高銘柄,8,NEW,,338A,ゼンムテック,東Ｇ,"2,343",,+208,+9.74%,21.1,8.37,－,2026-09-02 16:00
本日のストップ安銘柄,1,NEW,,7946,光陽社,名Ｍ,383,,-57,-12.95%,10.6,0.54,2.87,2026-09-02 16:00
