種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,2321,ソフトフロン,東Ｇ,189,S,+50,+35.97%,－,5.91,－,2026-09-09 15:34
本日のストップ高銘柄,2,NEW,,8254,さいか屋,東Ｓ,329,S,+80,+32.13%,17.9,1.53,1.52,2026-09-09 15:34
本日のストップ高銘柄,3,NEW,,4370,モビルス,東Ｇ,462,S,+80,+20.94%,－,2.04,－,2026-09-09 15:34
本日のストップ高銘柄,4,NEW,,7475,アルビス,東Ｐ,"3,000",S,+500,+20.00%,21.5,0.76,－,2026-09-09 15:34
本日のストップ高銘柄,5,NEW,,485A,ＰｏｗｅｒＸ,東Ｇ,"2,143",,+318,+17.42%,198,38.52,－,2026-09-09 15:34
本日のストップ高銘柄,6,NEW,,5287,イトヨーギョ,東Ｓ,"1,011",S,+150,+17.42%,14.9,0.76,1.98,2026-09-09 15:34
本日のストップ高銘柄,7,NEW,,4052,フィーチャ,東Ｇ,"1,040",S,+150,+16.85%,138,8.36,－,2026-09-09 15:34
本日のストップ高銘柄,8,NEW,,4667,アイサンテク,東Ｓ,"3,625",,+225,+6.62%,35.1,3.06,1.24,2026-09-09 15:34
本日のストップ高銘柄,9,↓8,1,4440,ヴィッツ,東Ｓ,"2,070",,+56,+2.78%,18.4,2.60,0.87,2026-09-09 15:34
本日のストップ高銘柄,10,↓6,4,6898,トミタ電機,東Ｓ,"5,640",,+80,+1.44%,92.1,1.15,－,2026-09-09 15:34
本日のストップ安銘柄,1,NEW,,4395,アクリート,東Ｇ,613,S,-150,-19.66%,11.0,1.31,1.63,2026-09-09 15:34
本日のストップ安銘柄,2,NEW,,8995,誠建設,東Ｓ,"2,048",S,-500,-19.62%,58.9,0.99,1.22,2026-09-09 15:34
