種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,3189,ＡＮＡＰＨＤ,東Ｓ,163,S,+50,+44.25%,－,1.00,－,2026-08-21 15:34
本日のストップ高銘柄,2,NEW,,7138,ＴＯＲＩＣＯ,東Ｇ,193,S,+50,+34.97%,－,2.11,－,2026-08-21 15:34
本日のストップ高銘柄,3,NEW,,456A,ヒュマメイド,東Ｇ,"1,662",S,+300,+22.03%,46.2,12.02,－,2026-08-21 15:34
本日のストップ高銘柄,4,NEW,,296A,令和ＡＨ,東Ｇ,"1,087",S,+150,+16.01%,28.2,18.04,3.04,2026-08-21 15:34
本日のストップ高銘柄,5,NEW,,9115,明海グループ,東Ｓ,"1,129",S,+150,+15.32%,18.3,0.69,－,2026-08-21 15:34
本日のストップ高銘柄,6,NEW,,7719,東京衡機,東Ｓ,467,,+32,+7.36%,14.3,1.89,－,2026-08-21 15:34
本日のストップ安銘柄,1,NEW,,5103,昭和ＨＤ,東Ｓ,1,S,-2,-66.67%,－,0.07,－,2026-08-21 15:34
