種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,2034,コスピベア,東EN,"2,289",,+340,+17.44%,－,－,－,2026-07-17 16:00
本日のストップ高銘柄,2,NEW,,150A,ＪＳＨ,東Ｇ,542,S,+80,+17.32%,16.0,1.58,－,2026-07-17 16:00
本日のストップ高銘柄,3,NEW,,7581,サイゼリヤ,東Ｐ,"7,600",,+820,+12.09%,31.7,2.86,0.46,2026-07-17 16:00
本日のストップ高銘柄,4,NEW,,2354,ＹＥデジタル,東Ｓ,"1,059",,+81,+8.28%,11.9,2.50,2.83,2026-07-17 16:00
本日のストップ高銘柄,5,NEW,,9439,ＭＨグループ,東Ｓ,247,,+10,+4.22%,－,6.96,－,2026-07-17 16:00
本日のストップ安銘柄,1,NEW,,280A,ＴＭＨ,東Ｇ,"1,103",S,-300,-21.38%,－,2.94,－,2026-07-17 16:00
本日のストップ安銘柄,2,NEW,,6668,ＡＤプラズマ,東Ｓ,"3,125",S,-700,-18.30%,14.4,1.82,0.96,2026-07-17 16:00
本日のストップ安銘柄,3,NEW,,598A,チャットプラ,東Ｇ,"2,284",S,-500,-17.96%,33.0,15.33,0.13,2026-07-17 16:00
本日のストップ安銘柄,4,NEW,,285A,キオクシア,東Ｐ,"52,110",S,"-10,000",-16.10%,－,20.41,－,2026-07-17 16:00
本日のストップ安銘柄,5,NEW,,3436,ＳＵＭＣＯ,東Ｐ,"3,914",S,-700,-15.17%,－,2.40,－,2026-07-17 16:00
本日のストップ安銘柄,6,NEW,,6327,北川精機,東Ｓ,"3,910",,-660,-14.44%,52.4,5.65,0.51,2026-07-17 16:00
本日のストップ安銘柄,7,NEW,,6800,ヨコオ,東Ｐ,"4,300",,-555,-11.43%,22.3,1.66,1.49,2026-07-17 16:00
本日のストップ安銘柄,8,NEW,,6855,電子材料,東Ｓ,"5,960",,-660,-9.97%,15.9,1.95,1.34,2026-07-17 16:00
本日のストップ安銘柄,9,NEW,,6380,オリチェン,東Ｓ,"3,955",,+50,+1.28%,71.8,3.42,0.51,2026-07-17 16:00
