種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,2767,円谷フィＨＤ,東Ｐ,"1,930",S,+400,+26.14%,8.0,1.97,7.25,2026-07-28 15:34
本日のストップ高銘柄,2,↑2,4,8995,誠建設,東Ｓ,"1,093",S,+150,+15.91%,31.4,0.53,2.29,2026-07-28 15:34
本日のストップ高銘柄,3,↑2,5,3260,エスポア,名Ｎ,832,,+90,+12.13%,－,223,－,2026-07-28 15:34
本日のストップ高銘柄,4,NEW,,3851,日本一ソフト,東Ｓ,970,,+40,+4.30%,14.8,0.63,0.52,2026-07-28 15:34
本日のストップ高銘柄,5,NEW,,3625,テックファム,東Ｇ,585,,+13,+2.27%,12.6,1.40,1.37,2026-07-28 15:34
本日のストップ高銘柄,6,↓4,2,5242,アイズ,東Ｇ,"2,323",,-386,-14.25%,795,3.97,－,2026-07-28 15:34
本日のストップ安銘柄,1,NEW,,9256,サクシード,東Ｇ,"1,846",S,-500,-21.31%,25.4,2.54,0.87,2026-07-28 15:34
本日のストップ安銘柄,2,NEW,,4052,フィーチャ,東Ｇ,321,S,-80,-19.95%,134,2.71,－,2026-07-28 15:34
本日のストップ安銘柄,3,NEW,,285A,キオクシア,東Ｐ,"44,550",S,"-10,000",-18.33%,－,17.45,－,2026-07-28 15:34
本日のストップ安銘柄,4,NEW,,2033,コスピブル,東EN,"63,940",,"-14,280",-18.26%,－,－,－,2026-07-28 15:34
本日のストップ安銘柄,5,NEW,,150A,ＪＳＨ,東Ｇ,447,,-90,-16.76%,13.2,1.31,－,2026-07-28 15:34
本日のストップ安銘柄,6,NEW,,6323,ローツェ,東Ｐ,"3,828",,-684,-15.16%,23.9,4.86,0.52,2026-07-28 15:34
