種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,→,1,5240,ｍｏｎｏＡＩ,東Ｇ,230,S,+50,+27.78%,－,2.61,－,2026-07-13 15:36
本日のストップ高銘柄,2,NEW,,6814,古野電,東Ｐ,"7,390",S,"+1,000",+15.65%,18.0,2.54,2.17,2026-07-13 15:36
本日のストップ高銘柄,3,NEW,,195A,マスカットＧ,東Ｇ,762,S,+100,+15.11%,－,2.40,－,2026-07-13 15:36
本日のストップ高銘柄,4,↑2,6,6227,ＡＩメカ,東Ｓ,"7,790",S,"+1,000",+14.73%,47.6,10.81,0.22,2026-07-13 15:36
本日のストップ高銘柄,5,↓2,3,4424,Ａｍａｚｉａ,東Ｇ,392,,-4,-1.01%,－,3.42,－,2026-07-13 15:36
本日のストップ安銘柄,1,→,1,9170,成友興業,名Ｍ,"1,690",,-451,-21.06%,21.7,2.49,0.83,2026-07-13 15:36
本日のストップ安銘柄,2,NEW,,3046,ＪＩＮＳＨＤ,東Ｐ,"6,240",S,"-1,500",-19.38%,16.9,4.08,1.84,2026-07-13 15:36
本日のストップ安銘柄,3,NEW,,2033,コスピブル,東EN,"84,990",S,"-15,000",-15.00%,－,－,－,2026-07-13 15:36
本日のストップ安銘柄,4,NEW,,6506,安川電,東Ｐ,"5,972",S,"-1,000",-14.34%,33.0,3.19,1.21,2026-07-13 15:36
