種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,4438,Ｗｅｌｂｙ,東Ｇ,326,S,+80,+32.52%,－,49.10,－,2026-09-16 15:34
本日のストップ高銘柄,2,NEW,,4933,Ｉｎｅ,東Ｐ,"2,081",S,+400,+23.80%,－,2.09,0.72,2026-09-16 15:34
本日のストップ高銘柄,3,↑4,7,8848,レオパレス,東Ｐ,941,S,+150,+18.96%,14.0,6.21,－,2026-09-16 15:34
本日のストップ高銘柄,4,NEW,,4875,メディシノバ,東Ｓ,352,,+47,+15.41%,－,－,－,2026-09-16 15:34
本日のストップ高銘柄,5,NEW,,4840,トライアイズ,東Ｓ,800,,+79,+10.96%,28.9,1.46,1.38,2026-09-16 15:34
本日のストップ高銘柄,6,NEW,,7363,ベビカレ,東Ｇ,"1,348",,+49,+3.77%,17.2,1.58,－,2026-09-16 15:34
本日のストップ高銘柄,7,↓6,1,5131,リンカーズ,東Ｇ,210,,-3,-1.41%,－,6.28,－,2026-09-16 15:34
本日のストップ高銘柄,8,NEW,,621A,オーディオＳ,東Ｇ,"1,954",S,－,－%,－,8.37,－,2026-09-16 15:34
本日のストップ安銘柄,1,NEW,,4935,リベルタ,東Ｓ,139,S,-50,-26.46%,－,3.17,－,2026-09-16 15:34
本日のストップ安銘柄,2,NEW,,3260,エスポア,名Ｎ,391,S,-80,-16.99%,－,104,－,2026-09-16 15:34
