種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,4052,フィーチャ,東Ｇ,401,S,+80,+24.92%,167,3.39,－,2026-07-27 15:34
本日のストップ高銘柄,2,↑1,3,5242,アイズ,東Ｇ,"2,709",S,+500,+22.63%,927,4.62,－,2026-07-27 15:34
本日のストップ高銘柄,3,NEW,,5253,カバー,東Ｇ,"1,650",S,+300,+22.22%,21.5,5.27,－,2026-07-27 15:34
本日のストップ高銘柄,4,NEW,,8995,誠建設,東Ｓ,943,S,+150,+18.92%,27.1,0.46,2.65,2026-07-27 15:34
本日のストップ高銘柄,5,↓3,2,3260,エスポア,名Ｎ,742,S,+100,+15.58%,－,198,－,2026-07-27 15:34
本日のストップ高銘柄,6,NEW,,2560,ＭＸカーボン,東Ｅ,"54,230",,"+1,220",+2.30%,－,－,－,2026-07-27 15:34
本日のストップ高銘柄,7,NEW,,2048,高配株米ドル,東EN,"58,860",,"+1,310",+2.28%,－,－,－,2026-07-27 15:34
本日のストップ高銘柄,8,NEW,,2050,ＮＴ中小型,東EN,"35,710",,－,－%,－,－,－,2026-07-27 15:34
本日のストップ安銘柄,1,NEW,,4972,綜研化学,東Ｓ,"3,095",S,-700,-18.45%,11.9,1.24,－,2026-07-27 15:34
