種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,4937,ワクー,東Ｇ,"1,968",S,+400,+25.51%,17.1,2.81,－,2026-08-10 15:34
本日のストップ高銘柄,2,NEW,,6570,共和コーポ,東Ｓ,"2,602",S,+500,+23.79%,12.8,2.48,1.54,2026-08-10 15:34
本日のストップ高銘柄,3,NEW,,6138,ダイジェト,東Ｓ,"1,572",S,+300,+23.58%,5.5,0.46,4.45,2026-08-10 15:34
本日のストップ高銘柄,4,NEW,,6098,リクルート,東Ｐ,"16,165",S,"+3,000",+22.79%,29.6,12.60,0.16,2026-08-10 15:34
本日のストップ高銘柄,5,NEW,,6258,平田機工,東Ｐ,"3,865",S,+700,+22.12%,18.2,1.51,1.94,2026-08-10 15:34
本日のストップ高銘柄,6,NEW,,2146,ＵＴ,東Ｐ,221,,+38,+20.77%,20.5,5.00,4.63,2026-08-10 15:34
本日のストップ高銘柄,7,NEW,,5985,サンコール,東Ｓ,"1,750",S,+300,+20.69%,8.4,1.50,2.00,2026-08-10 15:34
本日のストップ高銘柄,8,NEW,,3374,内外テック,東Ｓ,"4,210",S,+700,+19.94%,8.8,1.12,3.42,2026-08-10 15:34
本日のストップ高銘柄,9,NEW,,6928,エノモト,東Ｓ,"3,070",S,+503,+19.59%,11.6,0.85,2.61,2026-08-10 15:34
本日のストップ高銘柄,10,↓2,8,4052,フィーチャ,東Ｇ,633,S,+100,+18.76%,88.2,5.35,－,2026-08-10 15:34
本日のストップ高銘柄,11,NEW,,7567,栄電子,東Ｓ,666,S,+100,+17.67%,16.7,0.65,1.95,2026-08-10 15:34
本日のストップ高銘柄,12,NEW,,7456,松田産業,東Ｐ,"6,850",S,"+1,000",+17.09%,8.6,1.41,1.75,2026-08-10 15:34
本日のストップ高銘柄,13,↓10,3,3676,デジハＨＤ,東Ｐ,"1,053",S,+150,+16.61%,12.7,2.38,－,2026-08-10 15:34
本日のストップ高銘柄,14,NEW,,8050,セイコーＧ,東Ｐ,"10,670",S,"+1,500",+16.36%,31.2,4.59,0.98,2026-08-10 15:34
本日のストップ高銘柄,15,NEW,,6743,大同信,東Ｓ,"1,069",S,+150,+16.32%,8.9,0.62,3.37,2026-08-10 15:34
本日のストップ高銘柄,16,NEW,,6072,地盤ＨＤ,東Ｓ,"1,074",S,+150,+16.23%,－,17.30,－,2026-08-10 15:34
本日のストップ高銘柄,17,NEW,,3156,レスター,東Ｐ,"5,120",S,+705,+15.97%,10.7,1.47,2.83,2026-08-10 15:34
本日のストップ高銘柄,18,NEW,,3277,サンセイラン,東Ｓ,729,S,+100,+15.90%,5.4,0.79,5.14,2026-08-10 15:34
本日のストップ高銘柄,19,NEW,,3131,シンデンハイ,東Ｓ,"5,160",S,+705,+15.82%,4.9,1.24,4.55,2026-08-10 15:34
本日のストップ高銘柄,20,NEW,,8995,誠建設,東Ｓ,"1,136",S,+150,+15.21%,32.6,0.55,2.20,2026-08-10 15:34
本日のストップ高銘柄,21,NEW,,4631,ＤＩＣ,東Ｐ,"5,378",S,+700,+14.96%,10.6,1.00,2.79,2026-08-10 15:34
本日のストップ高銘柄,22,NEW,,4125,三和油化工業,東Ｓ,"3,865",,+485,+14.35%,15.2,1.21,1.29,2026-08-10 15:34
本日のストップ高銘柄,23,NEW,,6836,ぷらっと,東Ｓ,822,,+77,+10.34%,78.0,8.30,－,2026-08-10 15:34
本日のストップ高銘柄,24,NEW,,7800,アミファ,東Ｓ,"1,022",,+34,+3.44%,4.8,1.15,2.94,2026-08-10 15:34
本日のストップ高銘柄,25,NEW,,612A,ＯｎｅＪ逆,東Ｅ,"9,980",,-430,-4.13%,－,－,－,2026-08-10 15:34
本日のストップ安銘柄,1,NEW,,4263,サスメド,東Ｇ,558,S,-150,-21.19%,－,2.37,－,2026-08-10 15:34
本日のストップ安銘柄,2,NEW,,7318,セレンＨＤ,東Ｇ,"1,547",S,-400,-20.54%,12.8,2.11,－,2026-08-10 15:34
本日のストップ安銘柄,3,NEW,,4889,レナ,東Ｇ,"1,267",,-252,-16.59%,－,5.27,－,2026-08-10 15:34
本日のストップ安銘柄,4,NEW,,3917,アイリッジ,東Ｇ,430,,-68,-13.65%,11.3,1.16,－,2026-08-10 15:34
