種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,4598,デルタフライ,東Ｇ,154,S,+50,+48.08%,－,－,－,2026-09-01 15:34
本日のストップ高銘柄,2,↑11,13,4075,ブレインズ,東Ｇ,"1,387",S,+300,+27.60%,50.4,4.66,－,2026-09-01 15:34
本日のストップ高銘柄,3,↑5,8,7694,いつも,東Ｇ,727,S,+100,+15.95%,23.1,1.72,－,2026-09-01 15:34
本日のストップ高銘柄,4,↑11,15,4052,フィーチャ,東Ｇ,641,,-104,-13.96%,85.2,5.16,－,2026-09-01 15:34
本日のストップ安銘柄,1,NEW,,6522,アスタリスク,東Ｇ,"1,656",S,-500,-23.19%,－,7.20,－,2026-09-01 15:34
本日のストップ安銘柄,2,NEW,,5129,ＦＩＸＥＲ,東Ｇ,344,,-78,-18.48%,－,2.32,－,2026-09-01 15:34
本日のストップ安銘柄,3,NEW,,4588,オンコリス,東Ｇ,"4,155",,-495,-10.65%,－,37.65,－,2026-09-01 15:34
本日のストップ安銘柄,4,NEW,,6897,ツインバード,東Ｓ,670,,-8,-1.18%,158,1.09,1.94,2026-09-01 15:34
