種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,4527,ロート,東Ｐ,"2,862.5",S,+500.0,+21.16%,18.4,2.09,1.75,2026-08-07 15:35
本日のストップ高銘柄,2,NEW,,5142,アキレス,東Ｐ,"1,689",,+295,+21.16%,10.5,0.52,2.96,2026-08-07 15:35
本日のストップ高銘柄,3,NEW,,3676,デジハＨＤ,東Ｐ,903,S,+150,+19.92%,10.9,2.04,－,2026-08-07 15:35
本日のストップ高銘柄,4,NEW,,3422,Ｊ－ＭＡＸ,東Ｓ,603,S,+100,+19.88%,6.9,0.34,1.33,2026-08-07 15:35
本日のストップ高銘柄,5,↓4,1,6998,タングス,東Ｓ,"3,120",S,+502,+19.17%,21.1,1.09,2.88,2026-08-07 15:35
本日のストップ高銘柄,6,↓3,3,4234,サンエー化研,東Ｓ,942,S,+150,+18.94%,5.7,0.40,1.91,2026-08-07 15:35
本日のストップ高銘柄,7,NEW,,1847,イチケン,東Ｓ,"3,260",S,+501,+18.16%,6.5,1.15,5.52,2026-08-07 15:35
本日のストップ高銘柄,8,↓6,2,4052,フィーチャ,東Ｇ,533,,+73,+15.87%,74.2,4.50,－,2026-08-07 15:35
本日のストップ高銘柄,9,NEW,,5711,三菱マ,東Ｐ,"5,157",S,+700,+15.71%,4.8,0.87,2.25,2026-08-07 15:35
本日のストップ高銘柄,10,NEW,,7826,フルヤ金属,東Ｐ,"7,920",S,"+1,000",+14.45%,11.0,2.49,2.27,2026-08-07 15:35
本日のストップ高銘柄,11,NEW,,6656,インスペック,東Ｓ,907,,+41,+4.73%,45.5,4.41,－,2026-08-07 15:35
本日のストップ安銘柄,1,NEW,,6787,メイコー,東Ｐ,"18,790",S,"-5,000",-21.02%,18.1,3.74,0.85,2026-08-07 15:35
本日のストップ安銘柄,2,NEW,,429A,テクセンド,東Ｐ,"3,670",,-625,-14.55%,15.4,2.05,1.91,2026-08-07 15:35
本日のストップ安銘柄,3,NEW,,3449,テクノフレ,東Ｓ,"4,250",S,-700,-14.14%,19.0,2.81,1.51,2026-08-07 15:35
本日のストップ安銘柄,4,NEW,,6590,芝浦,東Ｐ,"4,310",,-670,-13.45%,23.8,5.28,1.48,2026-08-07 15:35
