種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,↑6,7,4052,フィーチャ,東Ｇ,"1,340",S,+300,+28.85%,178,10.78,－,2026-09-10 15:34
本日のストップ高銘柄,2,NEW,,9082,大和自,東Ｓ,"2,537",S,+500,+24.55%,115,1.19,0.39,2026-09-10 15:34
本日のストップ高銘柄,3,NEW,,8995,誠建設,東Ｓ,"2,548",S,+500,+24.41%,73.2,1.23,0.98,2026-09-10 15:34
本日のストップ高銘柄,4,↑5,9,4440,ヴィッツ,東Ｓ,"2,570",S,+500,+24.15%,22.8,3.22,0.70,2026-09-10 15:34
本日のストップ高銘柄,5,↓1,4,7475,アルビス,東Ｐ,"3,700",S,+700,+23.33%,26.5,0.93,－,2026-09-10 15:34
本日のストップ高銘柄,6,NEW,,6191,エアトリ,東Ｐ,923,S,+150,+19.40%,9.4,1.08,17.33,2026-09-10 15:34
本日のストップ高銘柄,7,NEW,,4174,アピリッツ,東Ｓ,"1,018",S,+150,+17.28%,19.1,2.40,2.85,2026-09-10 15:34
本日のストップ高銘柄,8,NEW,,520A,Ｊファーマ,東Ｇ,515,,+69,+15.47%,－,2.65,－,2026-09-10 15:34
本日のストップ高銘柄,9,NEW,,265A,Ｈｍｃｏｍｍ,東Ｇ,808,,+92,+12.85%,105,1.95,－,2026-09-10 15:34
本日のストップ安銘柄,1,NEW,,4599,ステムリム,東Ｇ,239,S,-80,-25.08%,－,3.60,－,2026-09-10 15:34
本日のストップ安銘柄,2,NEW,,6577,ベストワン,東Ｇ,"1,572",S,-400,-20.28%,31.3,1.77,1.34,2026-09-10 15:34
