種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,→,1,5240,ｍｏｎｏＡＩ,東Ｇ,180,S,+50,+38.46%,－,2.05,－,2026-07-10 16:00
本日のストップ高銘柄,2,→,2,4381,ビープラッツ,東Ｇ,312,S,+80,+34.48%,21.6,－,－,2026-07-10 16:00
本日のストップ高銘柄,3,→,3,4424,Ａｍａｚｉａ,東Ｇ,396,S,+80,+25.32%,－,3.45,－,2026-07-10 16:00
本日のストップ高銘柄,4,→,4,5018,ＭＯＲＥＳＣ,東Ｓ,"2,320",S,+400,+20.83%,13.8,0.88,2.37,2026-07-10 16:00
本日のストップ高銘柄,5,→,5,6327,北川精機,東Ｓ,"6,130",S,"+1,000",+19.49%,82.1,8.86,0.33,2026-07-10 16:00
本日のストップ高銘柄,6,→,6,6227,ＡＩメカ,東Ｓ,"6,790",S,"+1,000",+17.27%,41.5,9.43,0.25,2026-07-10 16:00
本日のストップ高銘柄,7,→,7,472A,ミラティブ,東Ｇ,562,S,+80,+16.60%,9.9,2.53,－,2026-07-10 16:00
本日のストップ高銘柄,8,→,8,3436,ＳＵＭＣＯ,東Ｐ,"5,244",S,+700,+15.40%,－,3.22,－,2026-07-10 16:00
本日のストップ高銘柄,9,→,9,4575,ＣＡＮＢＡＳ,東Ｇ,758,S,+100,+15.20%,－,7.33,－,2026-07-10 16:00
本日のストップ高銘柄,10,→,10,6266,タツモ,東Ｐ,"5,210",,+500,+10.62%,30.2,2.87,0.65,2026-07-10 16:00
本日のストップ安銘柄,1,→,1,9170,成友興業,名Ｍ,"2,141",S,-500,-18.93%,27.5,3.16,0.65,2026-07-10 16:00
