種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,4052,フィーチャ,東Ｇ,342,S,+80,+30.53%,143,2.89,－,2026-07-31 15:34
本日のストップ高銘柄,2,→,2,2737,トーメンデバ,東Ｐ,"21,150",S,"+4,000",+23.32%,4.8,2.04,7.75,2026-07-31 15:34
本日のストップ高銘柄,3,NEW,,4220,リケンテクノ,東Ｐ,"2,216",S,+400,+22.03%,11.0,1.53,3.84,2026-07-31 15:34
本日のストップ高銘柄,4,NEW,,4062,イビデン,東Ｐ,"16,650",S,"+3,000",+21.98%,80.2,8.46,0.21,2026-07-31 15:34
本日のストップ高銘柄,5,NEW,,6912,菊水ＨＤ,東Ｓ,"2,264",S,+400,+21.46%,10.4,1.20,2.61,2026-07-31 15:34
本日のストップ高銘柄,6,NEW,,6855,電子材料,東Ｓ,"6,090",S,"+1,000",+19.65%,16.2,1.99,1.31,2026-07-31 15:34
本日のストップ高銘柄,7,NEW,,6752,パナＨＤ,東Ｐ,"4,284.0",S,+700.0,+19.53%,22.2,1.85,1.26,2026-07-31 15:34
本日のストップ高銘柄,8,NEW,,2033,コスピブル,東EN,"63,090",S,"+10,000",+18.84%,－,－,－,2026-07-31 15:34
本日のストップ高銘柄,9,NEW,,6997,日ケミコン,東Ｐ,"3,120",,+492,+18.72%,21.4,1.75,0.80,2026-07-31 15:34
本日のストップ高銘柄,10,NEW,,6613,ＱＤレーザ,東Ｇ,"1,537",,+236,+18.14%,146,13.20,－,2026-07-31 15:34
本日のストップ高銘柄,11,NEW,,285A,キオクシア,東Ｐ,"46,500",S,"+7,000",+17.72%,－,10.60,－,2026-07-31 15:34
本日のストップ高銘柄,12,NEW,,3436,ＳＵＭＣＯ,東Ｐ,"3,357.0",S,+500.5,+17.52%,－,2.06,－,2026-07-31 15:34
本日のストップ高銘柄,13,NEW,,3891,高度紙,東Ｓ,"6,730",S,"+1,000",+17.45%,16.9,2.62,1.63,2026-07-31 15:34
本日のストップ高銘柄,14,NEW,,6976,太陽誘電,東Ｐ,"10,225",S,"+1,502",+17.22%,74.0,3.87,0.88,2026-07-31 15:34
本日のストップ高銘柄,15,NEW,,6627,テラプローブ,東Ｓ,"10,250",S,"+1,500",+17.14%,－,2.29,－,2026-07-31 15:34
本日のストップ高銘柄,16,NEW,,6227,ＡＩメカ,東Ｓ,"6,640",,+970,+17.11%,40.6,9.22,0.26,2026-07-31 15:34
本日のストップ高銘柄,17,NEW,,3449,テクノフレ,東Ｓ,"4,860",S,+700,+16.83%,21.7,3.38,1.32,2026-07-31 15:34
本日のストップ高銘柄,18,NEW,,6857,アドテスト,東Ｐ,"32,500",,"+4,565",+16.34%,35.7,22.57,－,2026-07-31 15:34
本日のストップ高銘柄,19,NEW,,6981,村田製,東Ｐ,"7,416",S,"+1,000",+15.59%,39.9,4.89,0.94,2026-07-31 15:34
本日のストップ高銘柄,20,NEW,,6525,コクサイエレ,東Ｐ,"7,422",S,"+1,000",+15.57%,44.6,7.89,0.63,2026-07-31 15:34
本日のストップ高銘柄,21,NEW,,221A,ＭＸ日半導体,東Ｅ,"1,122.0",,+149.6,+15.38%,－,－,－,2026-07-31 15:34
本日のストップ高銘柄,22,NEW,,4463,日華化学,東Ｓ,"2,006",,+263,+15.09%,8.4,0.86,3.49,2026-07-31 15:34
本日のストップ高銘柄,23,NEW,,6666,リバーエレク,東Ｓ,777,,+95,+13.93%,"3,237",1.39,1.29,2026-07-31 15:34
本日のストップ高銘柄,24,NEW,,9984,ＳＢＧ,東Ｐ,"5,260",,+638,+13.80%,－,1.70,0.21,2026-07-31 15:34
本日のストップ高銘柄,25,NEW,,5801,古河電,東Ｐ,"3,145.0",,+367.5,+13.23%,27.0,5.31,0.70,2026-07-31 15:34
本日のストップ高銘柄,26,NEW,,9511,沖縄電,東Ｐ,"1,054",,+123,+13.21%,16.8,0.47,4.74,2026-07-31 15:34
本日のストップ高銘柄,27,↓21,6,6840,ＡＫＩＢＡ,東Ｓ,694,,+80,+13.03%,－,1.44,－,2026-07-31 15:34
本日のストップ高銘柄,28,NEW,,2805,エスビー,東Ｓ,"6,600",,+730,+12.44%,19.7,1.62,0.91,2026-07-31 15:34
本日のストップ高銘柄,29,NEW,,6361,荏原,東Ｐ,"5,558",,+605,+12.21%,25.5,4.89,1.19,2026-07-31 15:34
本日のストップ高銘柄,30,NEW,,8995,誠建設,東Ｓ,990,,+103,+11.61%,28.4,0.48,2.53,2026-07-31 15:34
本日のストップ高銘柄,31,NEW,,6337,テセック,東Ｓ,"3,135",,+320,+11.37%,15.5,1.12,3.19,2026-07-31 15:34
本日のストップ高銘柄,32,NEW,,4424,Ａｍａｚｉａ,東Ｇ,379,,-16,-4.05%,－,3.31,－,2026-07-31 15:34
本日のストップ高銘柄,33,NEW,,516A,ｉＦ米＄ブル,東Ｅ,"2,055",,－,－%,－,－,－,2026-07-31 15:34
本日のストップ安銘柄,1,NEW,,4902,コニカミノル,東Ｐ,590.8,S,-100.0,-14.48%,10.3,0.53,3.05,2026-07-31 15:34
