種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,5031,モイ,東Ｇ,435,S,+80,+22.54%,－,2.50,－,2026-09-11 15:34
本日のストップ高銘柄,2,NEW,,6203,豊和工,東Ｓ,"2,844",S,+500,+21.33%,31.6,1.53,0.70,2026-09-11 15:34
本日のストップ高銘柄,3,NEW,,338A,ゼンムテック,東Ｇ,"3,255",S,+501,+18.19%,29.4,11.63,－,2026-09-11 15:34
本日のストップ高銘柄,4,↑2,6,6191,エアトリ,東Ｐ,"1,073",S,+150,+16.25%,10.9,1.26,14.91,2026-09-11 15:34
本日のストップ高銘柄,5,NEW,,377A,ＡＩＧＨＤ,名Ｍ,"1,110",,+90,+8.82%,40.0,1.53,－,2026-09-11 15:34
本日のストップ高銘柄,6,NEW,,6081,アライドアキ,東Ｇ,163,,+11,+7.24%,141,1.42,－,2026-09-11 15:34
本日のストップ高銘柄,7,↓3,4,4440,ヴィッツ,東Ｓ,"2,624",,+54,+2.10%,23.3,3.29,0.69,2026-09-11 15:34
本日のストップ高銘柄,8,↓6,2,9082,大和自,東Ｓ,"2,466",,-71,-2.80%,112,1.15,0.41,2026-09-11 15:34
本日のストップ安銘柄,1,NEW,,9556,イントループ,東Ｇ,"2,045",S,-500,-19.65%,7.9,2.89,－,2026-09-11 15:34
