種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,4056,ニューラルＧ,東Ｇ,299,S,+80,+36.53%,－,3.41,－,2026-08-31 15:34
本日のストップ高銘柄,2,↑7,9,336A,ダイナマップ,東Ｇ,"1,351",S,+300,+28.54%,－,5.05,－,2026-08-31 15:34
本日のストップ高銘柄,3,NEW,,7946,光陽社,名Ｍ,426,,+82,+23.84%,11.8,0.61,2.58,2026-08-31 15:34
本日のストップ高銘柄,4,↓3,1,5129,ＦＩＸＥＲ,東Ｇ,422,S,+80,+23.39%,－,2.85,－,2026-08-31 15:34
本日のストップ高銘柄,5,↓1,4,4440,ヴィッツ,東Ｓ,"1,785",S,+300,+20.20%,15.9,2.24,1.01,2026-08-31 15:34
本日のストップ高銘柄,6,↓3,3,593A,ティアフォー,東Ｇ,"2,399",S,+400,+20.01%,－,15.56,－,2026-08-31 15:34
本日のストップ高銘柄,7,↑6,13,4420,イーソル,東Ｓ,935,S,+150,+19.11%,22.4,3.00,0.59,2026-08-31 15:34
本日のストップ高銘柄,8,NEW,,7694,いつも,東Ｇ,627,S,+100,+18.98%,19.9,1.48,－,2026-08-31 15:34
本日のストップ高銘柄,9,↓3,6,4667,アイサンテク,東Ｓ,"3,165",S,+504,+18.94%,30.6,2.67,1.42,2026-08-31 15:34
本日のストップ高銘柄,10,↑4,14,3653,モルフォ,東Ｇ,"1,037",S,+150,+16.91%,－,1.82,－,2026-08-31 15:34
本日のストップ高銘柄,11,NEW,,3851,日本一ソフト,東Ｓ,"1,440",,+208,+16.88%,10.1,0.93,0.35,2026-08-31 15:34
本日のストップ高銘柄,12,NEW,,7376,ＢＣＣ,東Ｇ,919,,+129,+16.33%,－,3.84,－,2026-08-31 15:34
本日のストップ高銘柄,13,NEW,,4075,ブレインズ,東Ｇ,"1,087",S,+150,+16.01%,39.5,3.65,－,2026-08-31 15:34
本日のストップ高銘柄,14,NEW,,7630,壱番屋,東Ｐ,"1,091",S,+150,+15.94%,64.0,5.48,1.47,2026-08-31 15:34
本日のストップ高銘柄,15,NEW,,4052,フィーチャ,東Ｇ,745,S,+100,+15.50%,99.1,5.99,－,2026-08-31 15:34
本日のストップ高銘柄,16,NEW,,4394,エクスＭ,東Ｇ,672,,+36,+5.66%,30.6,2.43,1.86,2026-08-31 15:34
本日のストップ安銘柄,1,NEW,,8237,松屋,東Ｐ,"2,262",S,-500,-18.10%,229,4.39,0.53,2026-08-31 15:34
