種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,5131,リンカーズ,東Ｇ,163,S,+50,+44.25%,－,4.87,－,2026-09-14 15:34
本日のストップ高銘柄,2,NEW,,6356,日ギア,東Ｓ,"1,513",S,+300,+24.73%,12.2,1.44,0.66,2026-09-14 15:34
本日のストップ高銘柄,3,NEW,,3787,テクノマセマ,東Ｓ,406,S,+80,+24.54%,33.9,0.59,－,2026-09-14 15:34
本日のストップ高銘柄,4,NEW,,6317,北川鉄,東Ｓ,"2,107",S,+400,+23.43%,5.9,0.42,5.22,2026-09-14 15:34
本日のストップ高銘柄,5,NEW,,6159,ミクロン,東Ｓ,"2,296",S,+400,+21.10%,23.1,0.73,0.52,2026-09-14 15:34
本日のストップ高銘柄,6,NEW,,6492,岡野バ,東Ｓ,"16,020",,"+2,460",+18.14%,18.4,1.86,0.50,2026-09-14 15:34
本日のストップ高銘柄,7,NEW,,6466,ＴＶＥ,東Ｓ,"4,285",,+565,+15.19%,12.3,0.78,1.28,2026-09-14 15:34
本日のストップ高銘柄,8,NEW,,7719,東京衡機,東Ｓ,554,,+73,+15.18%,16.9,2.24,－,2026-09-14 15:34
本日のストップ高銘柄,9,NEW,,460A,ＢＲＡＮＵ,東Ｇ,"1,140",S,+150,+15.15%,17.6,4.88,－,2026-09-14 15:34
本日のストップ高銘柄,10,NEW,,7711,助川電気,東Ｓ,"5,680",S,+705,+14.17%,34.7,5.61,0.92,2026-09-14 15:34
本日のストップ高銘柄,11,↓10,1,5031,モイ,東Ｇ,398,,-37,-8.51%,－,2.29,－,2026-09-14 15:34
本日のストップ安銘柄,1,NEW,,8995,誠建設,東Ｓ,"2,048",S,-500,-19.62%,58.9,0.99,1.22,2026-09-14 15:34
本日のストップ安銘柄,2,NEW,,6203,豊和工,東Ｓ,"2,344",S,-500,-17.58%,26.1,1.26,0.85,2026-09-14 15:34
本日のストップ安銘柄,3,NEW,,3195,ジェネパ,東Ｓ,597,S,-100,-14.35%,27.1,2.35,－,2026-09-14 15:34
