種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,↑2,3,6138,ダイジェト,東Ｓ,"1,972",S,+400,+25.45%,6.9,0.58,3.55,2026-08-12 15:34
本日のストップ高銘柄,2,NEW,,5987,オーネックス,東Ｓ,"2,050",S,+400,+24.24%,8.3,0.60,0.98,2026-08-12 15:34
本日のストップ高銘柄,3,NEW,,3173,コミニックス,東Ｓ,"1,559",S,+300,+23.83%,9.7,1.15,3.21,2026-08-12 15:34
本日のストップ高銘柄,4,↑16,20,8995,誠建設,東Ｓ,"1,371",,+235,+20.69%,39.4,0.66,1.82,2026-08-12 15:34
本日のストップ高銘柄,5,NEW,,6862,ミナトＨＤ,東Ｓ,"2,948",S,+500,+20.42%,3.6,1.86,1.42,2026-08-12 15:34
本日のストップ高銘柄,6,NEW,,4381,ビープラッツ,東Ｇ,474,S,+80,+20.30%,33.9,－,－,2026-08-12 15:34
本日のストップ高銘柄,7,NEW,,7957,フジコピアン,東Ｓ,"2,390",S,+400,+20.10%,3.0,0.43,7.11,2026-08-12 15:34
本日のストップ高銘柄,8,↑11,19,3131,シンデンハイ,東Ｓ,"6,160",S,"+1,000",+19.38%,5.8,1.48,3.81,2026-08-12 15:34
本日のストップ高銘柄,9,NEW,,8132,シナネンＨＤ,東Ｐ,"7,180",,+980,+15.81%,15.0,1.31,1.67,2026-08-12 15:34
本日のストップ高銘柄,10,→,10,4052,フィーチャ,東Ｇ,733,S,+100,+15.80%,102,6.19,－,2026-08-12 15:34
本日のストップ高銘柄,11,NEW,,6907,ジオマテック,東Ｓ,756,,+94,+14.20%,11.8,0.58,－,2026-08-12 15:34
本日のストップ高銘柄,12,NEW,,1960,サンテック,東Ｓ,"1,634",,+183,+12.61%,10.9,0.75,3.37,2026-08-12 15:34
本日のストップ安銘柄,1,NEW,,6969,松尾電,東Ｓ,959,S,-300,-23.83%,7.8,0.99,1.56,2026-08-12 15:34
本日のストップ安銘柄,2,NEW,,4074,ラキール,東Ｇ,796,S,-150,-15.86%,－,1.52,－,2026-08-12 15:34
本日のストップ安銘柄,3,NEW,,6840,ＡＫＩＢＡ,東Ｓ,709,,-131,-15.60%,－,1.39,－,2026-08-12 15:34
本日のストップ安銘柄,4,NEW,,4971,メック,東Ｐ,"7,690",,"-1,290",-14.37%,23.4,3.89,1.43,2026-08-12 15:34
