種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,3907,シリコンスタ,東Ｓ,"1,318",S,+300,+29.47%,－,2.26,－,2026-07-29 15:34
本日のストップ高銘柄,2,↓1,1,2767,円谷フィＨＤ,東Ｐ,"2,330",S,+400,+20.73%,9.7,2.38,6.01,2026-07-29 15:34
本日のストップ高銘柄,3,NEW,,9697,カプコン,東Ｐ,"4,229.0",S,+700.0,+19.84%,30.5,6.18,1.09,2026-07-29 15:34
本日のストップ高銘柄,4,NEW,,504A,イノバセル,東Ｇ,553,S,+80,+16.91%,－,2.45,－,2026-07-29 15:34
本日のストップ高銘柄,5,NEW,,2034,コスピベア,東EN,"2,429",,+316,+14.96%,－,－,－,2026-07-29 15:34
本日のストップ高銘柄,6,NEW,,9227,マイクロ波,東Ｇ,922,,+105,+12.85%,－,38.79,－,2026-07-29 15:34
本日のストップ高銘柄,7,NEW,,1848,富士ＰＳ,東Ｓ,705,,+68,+10.68%,12.3,0.95,3.55,2026-07-29 15:34
本日のストップ高銘柄,8,NEW,,5248,テクノロジー,東Ｇ,534,,+6,+1.14%,－,6.42,－,2026-07-29 15:34
本日のストップ高銘柄,9,NEW,,604A,ビーエイブル,東Ｓ,"1,316",S,－,－%,18.4,2.31,1.52,2026-07-29 15:34
本日のストップ安銘柄,1,→,1,9256,サクシード,東Ｇ,"1,446",S,-400,-21.67%,19.9,1.99,1.11,2026-07-29 15:34
本日のストップ安銘柄,2,NEW,,3260,エスポア,名Ｎ,699,,-133,-15.99%,－,187,－,2026-07-29 15:34
本日のストップ安銘柄,3,↑1,4,2033,コスピブル,東EN,"53,940",S,"-10,000",-15.64%,－,－,－,2026-07-29 15:34
本日のストップ安銘柄,4,NEW,,603A,アイグリッド,東Ｇ,830,,－,－%,16.8,3.57,－,2026-07-29 15:34
