種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,5010,日精蝋,東Ｓ,326,S,+80,+32.52%,3.2,0.85,－,2026-08-17 15:34
本日のストップ高銘柄,2,↑1,3,8995,誠建設,東Ｓ,"1,980",S,+400,+25.32%,56.9,0.96,1.26,2026-08-17 15:34
本日のストップ高銘柄,3,NEW,,9563,アトラスＴ,東Ｇ,401,S,+80,+24.92%,42.6,1.71,1.75,2026-08-17 15:34
本日のストップ高銘柄,4,NEW,,6045,レントラクス,東Ｇ,"2,092",S,+400,+23.64%,18.1,2.53,1.20,2026-08-17 15:34
本日のストップ高銘柄,5,NEW,,584A,ＬｉＮＫＸ,東Ｇ,"3,270",S,+500,+18.05%,46.9,13.29,－,2026-08-17 15:34
本日のストップ高銘柄,6,NEW,,9115,明海グループ,東Ｓ,"1,053",S,+150,+16.61%,17.1,0.65,－,2026-08-17 15:34
本日のストップ高銘柄,7,NEW,,5027,エニマインド,東Ｇ,723,S,+100,+16.05%,26.3,2.43,0.28,2026-08-17 15:34
本日のストップ高銘柄,8,NEW,,247A,Ａｉロボ,東Ｇ,999,,+133,+15.36%,－,11.59,－,2026-08-17 15:34
本日のストップ高銘柄,9,NEW,,9344,アクシスＣ,東Ｇ,"1,139",S,+150,+15.17%,11.3,1.68,3.60,2026-08-17 15:34
本日のストップ高銘柄,10,NEW,,4418,ＪＤＳＣ,東Ｇ,964,,+112,+13.15%,14.5,2.31,－,2026-08-17 15:34
本日のストップ高銘柄,11,NEW,,3970,イノベーショ,東Ｓ,872,,+47,+5.70%,10.8,0.87,4.59,2026-08-17 15:34
本日のストップ安銘柄,1,NEW,,6728,アルバック,東Ｐ,"7,870",S,"-1,500",-16.01%,20.4,1.61,1.93,2026-08-17 15:34
本日のストップ安銘柄,2,NEW,,5587,インバＰＦ,東Ｇ,858,,-110,-11.36%,12.5,1.81,－,2026-08-17 15:34
本日のストップ安銘柄,3,NEW,,7273,イクヨ,東Ｓ,599,,+1,+0.17%,286,1.34,0.50,2026-08-17 15:34
