種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,→,1,5131,リンカーズ,東Ｇ,213,S,+50,+30.67%,－,6.37,－,2026-09-15 15:34
本日のストップ高銘柄,2,NEW,,604A,ビーエイブル,東Ｓ,"1,565",S,+300,+23.72%,17.0,2.14,1.28,2026-09-15 15:34
本日のストップ高銘柄,3,NEW,,7689,コパ,東Ｇ,422,S,+80,+23.39%,"1,241",1.68,－,2026-09-15 15:34
本日のストップ高銘柄,4,↓1,3,3787,テクノマセマ,東Ｓ,486,S,+80,+19.70%,40.6,0.71,－,2026-09-15 15:34
本日のストップ高銘柄,5,NEW,,4075,ブレインズ,東Ｇ,"1,343",,+188,+16.28%,45.4,4.26,－,2026-09-15 15:34
本日のストップ高銘柄,6,NEW,,246A,アスア,東Ｇ,"1,077",S,+150,+16.18%,34.1,2.66,－,2026-09-15 15:34
本日のストップ高銘柄,7,NEW,,8848,レオパレス,東Ｐ,791,S,+100,+14.47%,11.7,5.22,－,2026-09-15 15:34
本日のストップ高銘柄,8,↑3,11,5031,モイ,東Ｇ,428,,+30,+7.54%,－,2.46,－,2026-09-15 15:34
本日のストップ安銘柄,1,NEW,,3441,山王,東Ｓ,"2,195",S,-500,-18.55%,13.8,1.16,2.05,2026-09-15 15:34
本日のストップ安銘柄,2,↑1,3,3195,ジェネパ,東Ｓ,497,S,-100,-16.75%,22.5,1.96,－,2026-09-15 15:34
本日のストップ安銘柄,3,NEW,,9237,笑美面,東Ｇ,831,S,-150,-15.29%,19.6,4.20,－,2026-09-15 15:34
