種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,3652,ＤＭＰ,東Ｇ,"2,964",S,+500,+20.29%,310,2.96,－,2026-09-17 15:34
本日のストップ高銘柄,2,NEW,,4436,ミンカブ,東Ｇ,500,S,+80,+19.05%,15.4,5.61,－,2026-09-17 15:34
本日のストップ高銘柄,3,NEW,,4073,ジィ・シィ,東Ｇ,549,S,+80,+17.06%,20.8,3.93,－,2026-09-17 15:34
本日のストップ高銘柄,4,NEW,,8995,誠建設,東Ｓ,"1,995",,+275,+15.99%,57.3,0.97,1.25,2026-09-17 15:34
本日のストップ高銘柄,5,NEW,,5542,報国マテリア,東Ｓ,"1,149",S,+150,+15.02%,12.0,1.28,2.61,2026-09-17 15:34
本日のストップ高銘柄,6,NEW,,4446,リンクユーＧ,東Ｓ,719,,+24,+3.45%,38.2,4.45,－,2026-09-17 15:34
本日のストップ高銘柄,7,↓6,1,4438,Ｗｅｌｂｙ,東Ｇ,326,,0,0.00%,－,49.10,－,2026-09-17 15:34
本日のストップ安銘柄,1,NEW,,621A,オーディオＳ,東Ｇ,"1,554",S,-400,-20.47%,19.8,5.70,－,2026-09-17 15:34
本日のストップ安銘柄,2,→,2,3260,エスポア,名Ｎ,311,S,-80,-20.46%,－,83.38,－,2026-09-17 15:34
本日のストップ安銘柄,3,NEW,,4196,ネオマーケ,東Ｓ,"1,572",S,-400,-20.28%,39.0,4.79,－,2026-09-17 15:34
