種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,3907,シリコンスタ,東Ｓ,"1,510",S,+300,+24.79%,－,2.59,－,2026-08-05 15:34
本日のストップ高銘柄,2,NEW,,4062,イビデン,東Ｐ,"20,330",S,"+4,000",+24.49%,68.0,9.97,0.17,2026-08-05 15:34
本日のストップ高銘柄,3,NEW,,4635,東インキ,東Ｓ,"1,673",S,+300,+21.85%,7.9,0.66,5.68,2026-08-05 15:34
本日のストップ高銘柄,4,NEW,,4968,荒川化,東Ｐ,"2,337",S,+400,+20.65%,20.6,0.71,2.35,2026-08-05 15:34
本日のストップ高銘柄,5,NEW,,3036,アルコニクス,東Ｐ,"3,160",S,+501,+18.84%,10.3,0.84,3.01,2026-08-05 15:34
本日のストップ高銘柄,6,↑4,10,4746,東計電算,東Ｓ,"6,630",S,"+1,000",+17.76%,13.9,2.06,7.19,2026-08-05 15:34
本日のストップ高銘柄,7,NEW,,3954,昭和パックス,東Ｓ,"3,290",,+490,+17.50%,－,0.54,1.52,2026-08-05 15:34
本日のストップ高銘柄,8,↓4,4,7480,スズデン,東Ｓ,"3,370",,+469,+16.17%,15.4,2.58,5.22,2026-08-05 15:34
本日のストップ高銘柄,9,↓3,6,4073,ジィ・シィ,東Ｇ,729,S,+100,+15.90%,34.3,10.00,－,2026-08-05 15:34
本日のストップ高銘柄,10,↓9,1,9444,トーシンＨＤ,東Ｓ,325,,+27,+9.06%,－,1.98,－,2026-08-05 15:34
