種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,2459,アウン,東Ｓ,211,S,+50,+31.06%,－,5.16,－,2026-07-23 16:00
本日のストップ高銘柄,2,NEW,,1518,三井松島ＨＤ,東Ｐ,"1,953",S,+400,+25.76%,8.4,1.30,6.66,2026-07-23 16:00
本日のストップ高銘柄,3,NEW,,5242,アイズ,東Ｇ,"1,990",S,+400,+25.16%,681,3.40,－,2026-07-23 16:00
本日のストップ高銘柄,4,NEW,,6890,フェローテク,東Ｓ,"8,940",S,"+1,500",+20.16%,－,1.86,2.98,2026-07-23 16:00
本日のストップ高銘柄,5,NEW,,584A,ＬｉＮＫＸ,東Ｇ,"3,070",S,+504,+19.64%,91.5,13.69,－,2026-07-23 16:00
本日のストップ高銘柄,6,NEW,,4894,クオリプス,東Ｇ,"4,885",S,+700,+16.73%,－,8.60,－,2026-07-23 16:00
本日のストップ高銘柄,7,↓4,3,3907,シリコンスタ,東Ｓ,"1,054",S,+150,+16.59%,－,1.81,－,2026-07-23 16:00
本日のストップ高銘柄,8,NEW,,6227,ＡＩメカ,東Ｓ,"7,240",,+610,+9.20%,44.2,10.05,0.23,2026-07-23 16:00
本日のストップ高銘柄,9,NEW,,323A,フライヤー,東Ｇ,387,,+17,+4.59%,22.8,4.32,－,2026-07-23 16:00
本日のストップ高銘柄,10,NEW,,1697,ＷＴ大豆,東Ｅ,"4,836",,+146,+3.11%,－,－,－,2026-07-23 16:00
本日のストップ高銘柄,11,NEW,,3047,トラックワン,福Ｑ,940,S,－,－%,10.2,1.37,1.17,2026-07-23 16:00
本日のストップ安銘柄,1,↑1,2,9256,サクシード,東Ｇ,"2,620",S,-700,-21.08%,36.1,3.60,0.61,2026-07-23 16:00
本日のストップ安銘柄,2,NEW,,3260,エスポア,名Ｎ,542,,-38,-6.55%,－,145,－,2026-07-23 16:00
