種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,6977,抵抗器,東Ｓ,"1,575",S,+300,+23.53%,19.5,1.65,0.95,2026-09-18 16:00
本日のストップ高銘柄,2,NEW,,4075,ブレインズ,東Ｇ,"1,591",S,+300,+23.24%,53.8,5.04,－,2026-09-18 16:00
本日のストップ高銘柄,3,NEW,,7363,ベビカレ,東Ｇ,"1,649",S,+300,+22.24%,21.0,1.93,－,2026-09-18 16:00
本日のストップ高銘柄,4,NEW,,2962,テクニスコ,東Ｓ,"2,231",S,+400,+21.85%,102,11.63,－,2026-09-18 16:00
本日のストップ高銘柄,5,↓3,2,4436,ミンカブ,東Ｇ,600,S,+100,+20.00%,3.1,6.73,－,2026-09-18 16:00
本日のストップ高銘柄,6,NEW,,7689,コパ,東Ｇ,513,S,+80,+18.48%,"1,508",2.04,－,2026-09-18 16:00
本日のストップ高銘柄,7,NEW,,6862,ミナトＨＤ,東Ｓ,"5,180",S,+700,+15.63%,6.4,3.31,0.81,2026-09-18 16:00
本日のストップ高銘柄,8,↓5,3,4073,ジィ・シィ,東Ｇ,549,,0,0.00%,20.8,3.93,－,2026-09-18 16:00
本日のストップ高銘柄,9,NEW,,5131,リンカーズ,東Ｇ,185,,-4,-2.12%,－,5.53,－,2026-09-18 16:00
