種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,7740,タムロン,東Ｐ,"1,434",S,+300,+26.46%,16.9,2.72,3.56,2026-07-30 15:34
本日のストップ高銘柄,2,NEW,,2737,トーメンデバ,東Ｐ,"17,150",S,"+3,000",+21.20%,3.9,1.65,9.56,2026-07-30 15:34
本日のストップ高銘柄,3,NEW,,6364,ＡＩＲＭＡＮ,東Ｐ,"2,373",S,+400,+20.27%,10.7,1.39,3.03,2026-07-30 15:34
本日のストップ高銘柄,4,NEW,,4461,一工薬,東Ｐ,"10,330",S,"+1,500",+16.99%,14.2,1.99,1.45,2026-07-30 15:34
本日のストップ高銘柄,5,NEW,,6862,ミナトＨＤ,東Ｓ,"1,829",,+262,+16.72%,6.3,1.68,1.64,2026-07-30 15:34
本日のストップ高銘柄,6,NEW,,6840,ＡＫＩＢＡ,東Ｓ,614,,+54,+9.64%,－,1.28,－,2026-07-30 15:34
本日のストップ高銘柄,7,NEW,,3260,エスポア,名Ｎ,754,,+55,+7.87%,－,202,－,2026-07-30 15:34
本日のストップ安銘柄,1,NEW,,3930,はてな,東Ｇ,840,S,-300,-26.32%,－,1.19,－,2026-07-30 15:34
本日のストップ安銘柄,2,NEW,,3907,シリコンスタ,東Ｓ,"1,018",S,-300,-22.76%,－,1.75,－,2026-07-30 15:34
