種別,順位,順位変動,前回順位,コード,銘柄名,市場,株価,状態,前日比,前日比率,PER,PBR,利回り,as_of
本日のストップ高銘柄,1,NEW,,4052,フィーチャ,東Ｇ,312,S,+80,+34.48%,130,2.64,－,2026-07-22 14:10
本日のストップ高銘柄,2,NEW,,4424,Ａｍａｚｉａ,東Ｇ,357,S,+80,+28.88%,－,3.11,－,2026-07-22 14:10
本日のストップ高銘柄,3,NEW,,3907,シリコンスタ,東Ｓ,904,ｹ,+150,+19.89%,－,1.55,－,2026-07-22 14:10
本日のストップ高銘柄,4,NEW,,4073,ジィ・シィ,東Ｇ,516,ｹ,+80,+18.35%,24.3,7.08,－,2026-07-22 14:10
本日のストップ高銘柄,5,NEW,,3803,イメージ情報,東Ｇ,532,S,+80,+17.70%,－,2.80,－,2026-07-22 14:10
本日のストップ高銘柄,6,NEW,,6769,ザイン,東Ｓ,"1,079",,+120,+12.51%,106,1.37,1.39,2026-07-22 14:10
本日のストップ安銘柄,1,↑2,3,598A,チャットプラ,東Ｇ,"2,285",,-499,-17.92%,33.0,15.33,0.13,2026-07-22 14:10
本日のストップ安銘柄,2,NEW,,9256,サクシード,東Ｇ,"3,320",S,-700,-17.41%,45.7,4.56,0.48,2026-07-22 14:10
